Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	387058	0.155	0
2	243199373	403119	0.166	0
3	198022430	327922	0.166	0
4	191154276	301646	0.158	0
5	180915260	294659	0.163	0
6	171115067	284944	0.167	0
7	159138663	257450	0.162	0
8	146364022	243989	0.167	0
9	141213431	191815	0.136	-1
10	135534747	228506	0.169	0
11	135006516	227075	0.168	0
12	133851895	225028	0.168	0
13	115169878	158133	0.137	-1
14	107349540	151234	0.141	-1
15	102531392	139830	0.136	-1
16	90354753	146151	0.162	0
17	81195210	144334	0.178	1
18	78077248	128385	0.164	0
19	59128983	107924	0.183	1
20	63025520	114767	0.182	1
21	48129895	63435	0.132	-1
22	51304566	66529	0.13	-1
Odchylenie standardowe dla osobnika: 0.01576
