Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	538549	0.216	0
2	243199373	572339	0.235	0
3	198022430	470607	0.238	0
4	191154276	445826	0.233	0
5	180915260	421720	0.233	0
6	171115067	406400	0.238	0
7	159138663	365035	0.229	0
8	146364022	345183	0.236	0
9	141213431	268076	0.19	-1
10	135534747	316273	0.233	0
11	135006516	316911	0.235	0
12	133851895	317735	0.237	0
13	115169878	231821	0.201	-1
14	107349540	213807	0.199	-1
15	102531392	192101	0.187	-1
16	90354753	190074	0.21	0
17	81195210	190627	0.235	0
18	78077248	181130	0.232	0
19	59128983	140322	0.237	0
20	63025520	151874	0.241	0
21	48129895	130447	0.271	1
22	51304566	85229	0.166	-1
Odchylenie standardowe dla osobnika: 0.02273
