Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1483423	0.595	0
2	243199373	1362834	0.56	0
3	198022430	1069277	0.54	0
4	191154276	919894	0.481	-1
5	180915260	972919	0.538	0
6	171115067	990269	0.579	0
7	159138663	949692	0.597	0
8	146364022	828304	0.566	0
9	141213431	752728	0.533	0
10	135534747	890975	0.657	0
11	135006516	809784	0.6	0
12	133851895	809661	0.605	0
13	115169878	489387	0.425	-1
14	107349540	540288	0.503	0
15	102531392	548709	0.535	0
16	90354753	637710	0.706	0
17	81195210	656716	0.809	1
18	78077248	434557	0.557	0
19	59128983	556137	0.941	1
20	63025520	454089	0.72	1
21	48129895	230958	0.48	-1
22	51304566	339479	0.662	0
Odchylenie standardowe dla osobnika: 0.11333
Srednia arytmetyczna: 0.5995
