Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	270007	0.108	0
2	243199373	301973	0.124	0
3	198022430	248763	0.126	1
4	191154276	243445	0.127	1
5	180915260	225145	0.124	0
6	171115067	215868	0.126	1
7	159138663	189213	0.119	0
8	146364022	181378	0.124	0
9	141213431	135634	0.096	-1
10	135534747	162795	0.12	0
11	135006516	156918	0.116	0
12	133851895	163862	0.122	0
13	115169878	125060	0.109	0
14	107349540	109918	0.102	0
15	102531392	96879	0.094	-1
16	90354753	91423	0.101	0
17	81195210	87981	0.108	0
18	78077248	97266	0.125	0
19	59128983	59149	0.1	0
20	63025520	72577	0.115	0
21	48129895	45931	0.095	-1
22	51304566	35781	0.07	-1
Odchylenie standardowe dla osobnika: 0.01428
