Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	35628	0.014	0
2	243199373	33241	0.014	0
3	198022430	25317	0.013	0
4	191154276	22437	0.012	0
5	180915260	23514	0.013	0
6	171115067	23617	0.014	0
7	159138663	22543	0.014	0
8	146364022	20017	0.014	0
9	141213431	17951	0.013	0
10	135534747	21670	0.016	0
11	135006516	19408	0.014	0
12	133851895	19346	0.014	0
13	115169878	11839	0.01	-1
14	107349540	12960	0.012	0
15	102531392	13045	0.013	0
16	90354753	15670	0.017	0
17	81195210	15566	0.019	1
18	78077248	10412	0.013	0
19	59128983	13382	0.023	1
20	63025520	10879	0.017	0
21	48129895	8434	0.018	1
22	51304566	8025	0.016	0
Odchylenie standardowe dla osobnika: 0.00275
