Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	218797	0.088	0
2	243199373	195164	0.08	0
3	198022430	156448	0.079	0
4	191154276	135573	0.071	0
5	180915260	139797	0.077	0
6	171115067	139099	0.081	0
7	159138663	144169	0.091	0
8	146364022	112869	0.077	0
9	141213431	110083	0.078	0
10	135534747	124402	0.092	0
11	135006516	110248	0.082	0
12	133851895	122768	0.092	0
13	115169878	70184	0.061	-1
14	107349540	79446	0.074	0
15	102531392	80415	0.078	0
16	90354753	93402	0.103	0
17	81195210	102269	0.126	1
18	78077248	59736	0.077	0
19	59128983	89750	0.152	1
20	63025520	60692	0.096	0
21	48129895	31364	0.065	-1
22	51304566	45780	0.089	0
Odchylenie standardowe dla osobnika: 0.01951
