Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2357352	0.946	0
2	243199373	2141090	0.88	0
3	198022430	1692274	0.855	0
4	191154276	1519786	0.795	0
5	180915260	1520492	0.84	0
6	171115067	1518446	0.887	0
7	159138663	1557646	0.979	0
8	146364022	1252078	0.855	0
9	141213431	1192771	0.845	0
10	135534747	1422110	1.049	0
11	135006516	1218324	0.902	0
12	133851895	1318993	0.985	0
13	115169878	759471	0.659	-1
14	107349540	858793	0.8	0
15	102531392	876035	0.854	0
16	90354753	1021274	1.13	0
17	81195210	1112266	1.37	1
18	78077248	647402	0.829	0
19	59128983	982167	1.661	1
20	63025520	669724	1.063	0
21	48129895	349919	0.727	-1
22	51304566	509079	0.992	0
Odchylenie standardowe dla osobnika: 0.21297
Srednia arytmetyczna: 0.95014
