Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1474401	0.592	0
2	243199373	1382210	0.568	0
3	198022430	1098718	0.555	0
4	191154276	959994	0.502	0
5	180915260	989069	0.547	0
6	171115067	1023644	0.598	0
7	159138663	957447	0.602	0
8	146364022	854551	0.584	0
9	141213431	761163	0.539	0
10	135534747	969422	0.715	1
11	135006516	815408	0.604	0
12	133851895	825332	0.617	0
13	115169878	496782	0.431	-1
14	107349540	544625	0.507	0
15	102531392	558055	0.544	0
16	90354753	667390	0.739	1
17	81195210	637278	0.785	1
18	78077248	441102	0.565	0
19	59128983	536806	0.908	1
20	63025520	458485	0.727	1
21	48129895	231192	0.48	-1
22	51304566	325531	0.635	0
Odchylenie standardowe dla osobnika: 0.10741
Srednia arytmetyczna: 0.60655
