Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	189939	0.076	0
2	243199373	171763	0.071	0
3	198022430	133370	0.067	0
4	191154276	122322	0.064	0
5	180915260	118433	0.065	0
6	171115067	117214	0.069	0
7	159138663	126372	0.079	0
8	146364022	97921	0.067	0
9	141213431	95340	0.068	0
10	135534747	116997	0.086	0
11	135006516	96884	0.072	0
12	133851895	104765	0.078	0
13	115169878	58120	0.05	-1
14	107349540	67801	0.063	0
15	102531392	69440	0.068	0
16	90354753	84737	0.094	0
17	81195210	92236	0.114	1
18	78077248	49646	0.064	0
19	59128983	82744	0.14	1
20	63025520	51152	0.081	0
21	48129895	26755	0.056	-1
22	51304566	40756	0.079	0
Odchylenie standardowe dla osobnika: 0.01912
