Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1212860	0.487	0
2	243199373	1269178	0.522	0
3	198022430	1042318	0.526	0
4	191154276	969153	0.507	0
5	180915260	931795	0.515	0
6	171115067	898385	0.525	0
7	159138663	807461	0.507	0
8	146364022	767741	0.525	0
9	141213431	599291	0.424	-1
10	135534747	714568	0.527	0
11	135006516	713780	0.529	0
12	133851895	707623	0.529	0
13	115169878	501829	0.436	-1
14	107349540	476522	0.444	-1
15	102531392	432993	0.422	-1
16	90354753	440943	0.488	0
17	81195210	437630	0.539	0
18	78077248	404354	0.518	0
19	59128983	323111	0.546	1
20	63025520	350142	0.556	1
21	48129895	195716	0.407	-1
22	51304566	198404	0.387	-1
Odchylenie standardowe dla osobnika: 0.04873
Srednia arytmetyczna: 0.49391
