Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	489897	0.197	0
2	243199373	508224	0.209	0
3	198022430	413783	0.209	0
4	191154276	378611	0.198	0
5	180915260	370224	0.205	0
6	171115067	356864	0.209	0
7	159138663	319880	0.201	0
8	146364022	306874	0.21	0
9	141213431	242082	0.171	-1
10	135534747	288144	0.213	0
11	135006516	286860	0.212	0
12	133851895	281281	0.21	0
13	115169878	198356	0.172	-1
14	107349540	189579	0.177	-1
15	102531392	174772	0.17	-1
16	90354753	178916	0.198	0
17	81195210	176859	0.218	1
18	78077248	162319	0.208	0
19	59128983	127808	0.216	0
20	63025520	143884	0.228	1
21	48129895	78034	0.162	-1
22	51304566	81054	0.158	-1
Odchylenie standardowe dla osobnika: 0.01952
