Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	3276732	1.315	0
2	243199373	3124509	1.285	0
3	198022430	2450419	1.237	0
4	191154276	2132195	1.115	-1
5	180915260	2229498	1.232	0
6	171115067	2294763	1.341	0
7	159138663	2115285	1.329	0
8	146364022	1937377	1.324	0
9	141213431	1701680	1.205	0
10	135534747	2133988	1.574	1
11	135006516	1849929	1.37	0
12	133851895	1809633	1.352	0
13	115169878	1115081	0.968	-1
14	107349540	1207545	1.125	-1
15	102531392	1222639	1.192	0
16	90354753	1461904	1.618	1
17	81195210	1387919	1.709	1
18	78077248	1001234	1.282	0
19	59128983	1136260	1.922	1
20	63025520	1027797	1.631	1
21	48129895	523992	1.089	-1
22	51304566	725122	1.413	0
Odchylenie standardowe dla osobnika: 0.22002
