Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	73449	0.029	0
2	243199373	73262	0.03	0
3	198022430	58797	0.03	0
4	191154276	50094	0.026	0
5	180915260	50851	0.028	0
6	171115067	48131	0.028	0
7	159138663	49544	0.031	0
8	146364022	39342	0.027	0
9	141213431	37261	0.026	0
10	135534747	42703	0.032	0
11	135006516	39820	0.029	0
12	133851895	41429	0.031	0
13	115169878	27169	0.024	-1
14	107349540	28125	0.026	0
15	102531392	27844	0.027	0
16	90354753	28274	0.031	0
17	81195210	30081	0.037	1
18	78077248	22972	0.029	0
19	59128983	20136	0.034	1
20	63025520	20470	0.032	0
21	48129895	11480	0.024	-1
22	51304566	12421	0.024	-1
Odchylenie standardowe dla osobnika: 0.00325
