Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	580881	0.233	0
2	243199373	575600	0.237	0
3	198022430	455743	0.23	0
4	191154276	400394	0.209	0
5	180915260	408441	0.226	0
6	171115067	395177	0.231	0
7	159138663	371465	0.233	0
8	146364022	344380	0.235	0
9	141213431	289463	0.205	0
10	135534747	341319	0.252	0
11	135006516	342830	0.254	0
12	133851895	325274	0.243	0
13	115169878	213812	0.186	-1
14	107349540	222038	0.207	0
15	102531392	207385	0.202	-1
16	90354753	238548	0.264	0
17	81195210	243780	0.3	1
18	78077248	179186	0.229	0
19	59128983	202175	0.342	1
20	63025520	183962	0.292	1
21	48129895	96418	0.2	-1
22	51304566	120044	0.234	0
Odchylenie standardowe dla osobnika: 0.03534
Srednia arytmetyczna: 0.23836
