Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1708199	0.685	0
2	243199373	1590472	0.654	0
3	198022430	1241047	0.627	0
4	191154276	1063369	0.556	-1
5	180915260	1129734	0.624	0
6	171115067	1157873	0.677	0
7	159138663	1096408	0.689	0
8	146364022	974395	0.666	0
9	141213431	883423	0.626	0
10	135534747	1066059	0.787	0
11	135006516	949337	0.703	0
12	133851895	930282	0.695	0
13	115169878	567238	0.493	-1
14	107349540	627891	0.585	0
15	102531392	635357	0.62	0
16	90354753	740756	0.82	0
17	81195210	753130	0.928	1
18	78077248	505197	0.647	0
19	59128983	636771	1.077	1
20	63025520	532737	0.845	1
21	48129895	273059	0.567	-1
22	51304566	399929	0.78	0
Odchylenie standardowe dla osobnika: 0.12931
