Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	599889	0.241	0
2	243199373	546871	0.225	0
3	198022430	441483	0.223	0
4	191154276	389313	0.204	0
5	180915260	397060	0.219	0
6	171115067	402755	0.235	0
7	159138663	392084	0.246	0
8	146364022	333141	0.228	0
9	141213431	306387	0.217	0
10	135534747	361964	0.267	0
11	135006516	319165	0.236	0
12	133851895	338819	0.253	0
13	115169878	199373	0.173	-1
14	107349540	219717	0.205	0
15	102531392	219104	0.214	0
16	90354753	256329	0.284	0
17	81195210	260979	0.321	1
18	78077248	171953	0.22	0
19	59128983	228076	0.386	1
20	63025520	173073	0.275	0
21	48129895	91807	0.191	-1
22	51304566	122909	0.24	0
Odchylenie standardowe dla osobnika: 0.04477
Srednia arytmetyczna: 0.24105
