Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	179600	0.072	0
2	243199373	160015	0.066	0
3	198022430	127241	0.064	0
4	191154276	113166	0.059	0
5	180915260	111859	0.062	0
6	171115067	112089	0.066	0
7	159138663	119943	0.075	0
8	146364022	90928	0.062	0
9	141213431	90137	0.064	0
10	135534747	107744	0.079	0
11	135006516	90969	0.067	0
12	133851895	103053	0.077	0
13	115169878	55958	0.049	-1
14	107349540	66006	0.061	0
15	102531392	66922	0.065	0
16	90354753	80429	0.089	0
17	81195210	90900	0.112	1
18	78077248	46739	0.06	0
19	59128983	80991	0.137	1
20	63025520	50450	0.08	0
21	48129895	25375	0.053	-1
22	51304566	39440	0.077	0
Odchylenie standardowe dla osobnika: 0.01916
Srednia arytmetyczna: 0.07255
