Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	987605	0.396	0
2	243199373	1099753	0.452	0
3	198022430	922012	0.466	1
4	191154276	897695	0.47	1
5	180915260	825614	0.456	0
6	171115067	794261	0.464	1
7	159138663	696767	0.438	0
8	146364022	666224	0.455	0
9	141213431	497228	0.352	-1
10	135534747	591443	0.436	0
11	135006516	581369	0.431	0
12	133851895	600321	0.448	0
13	115169878	462445	0.402	0
14	107349540	402743	0.375	0
15	102531392	350278	0.342	-1
16	90354753	327879	0.363	0
17	81195210	314392	0.387	0
18	78077248	356252	0.456	0
19	59128983	218871	0.37	0
20	63025520	265340	0.421	0
21	48129895	168910	0.351	-1
22	51304566	129690	0.253	-1
Odchylenie standardowe dla osobnika: 0.05352
Srednia arytmetyczna: 0.40836
