Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	714708	0.287	0
2	243199373	658231	0.271	0
3	198022430	513218	0.259	0
4	191154276	445165	0.233	-1
5	180915260	466713	0.258	0
6	171115067	475398	0.278	0
7	159138663	456285	0.287	0
8	146364022	399905	0.273	0
9	141213431	361822	0.256	0
10	135534747	430405	0.318	0
11	135006516	389888	0.289	0
12	133851895	387600	0.29	0
13	115169878	233244	0.203	-1
14	107349540	260031	0.242	0
15	102531392	261368	0.255	0
16	90354753	309065	0.342	0
17	81195210	311465	0.384	1
18	78077248	208278	0.267	0
19	59128983	265249	0.449	1
20	63025520	218390	0.347	1
21	48129895	167168	0.347	1
22	51304566	161285	0.314	0
Odchylenie standardowe dla osobnika: 0.05364
