Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2511714	1.008	0
2	243199373	2518015	1.035	0
3	198022430	2017862	1.019	0
4	191154276	1811561	0.948	0
5	180915260	1801920	0.996	0
6	171115067	1743536	1.019	0
7	159138663	1607077	1.01	0
8	146364022	1512664	1.033	0
9	141213431	1242174	0.88	-1
10	135534747	1473459	1.087	0
11	135006516	1471706	1.09	0
12	133851895	1405672	1.05	0
13	115169878	947675	0.823	-1
14	107349540	955876	0.89	-1
15	102531392	912968	0.89	-1
16	90354753	997336	1.104	0
17	81195210	1025283	1.263	1
18	78077248	785102	1.006	0
19	59128983	824048	1.394	1
20	63025520	784113	1.244	1
21	48129895	400532	0.832	-1
22	51304566	506752	0.988	0
Odchylenie standardowe dla osobnika: 0.13489
Srednia arytmetyczna: 1.02768
