Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	36100	0.014	0
2	243199373	33266	0.014	0
3	198022430	27002	0.014	0
4	191154276	24344	0.013	0
5	180915260	24282	0.013	0
6	171115067	24040	0.014	0
7	159138663	24026	0.015	0
8	146364022	20241	0.014	0
9	141213431	18622	0.013	0
10	135534747	21850	0.016	0
11	135006516	19177	0.014	0
12	133851895	20503	0.015	0
13	115169878	11961	0.01	-1
14	107349540	13214	0.012	0
15	102531392	13222	0.013	0
16	90354753	15926	0.018	1
17	81195210	16548	0.02	1
18	78077248	10224	0.013	0
19	59128983	14215	0.024	1
20	63025520	10213	0.016	0
21	48129895	5527	0.011	-1
22	51304566	7316	0.014	0
Odchylenie standardowe dla osobnika: 0.00293
