Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	35626	0.014	0
2	243199373	32911	0.014	0
3	198022430	25635	0.013	0
4	191154276	22225	0.012	-1
5	180915260	23079	0.013	0
6	171115067	23547	0.014	0
7	159138663	22703	0.014	0
8	146364022	20061	0.014	0
9	141213431	18063	0.013	0
10	135534747	21563	0.016	0
11	135006516	19334	0.014	0
12	133851895	19218	0.014	0
13	115169878	11663	0.01	-1
14	107349540	13003	0.012	-1
15	102531392	13105	0.013	0
16	90354753	15594	0.017	0
17	81195210	15386	0.019	1
18	78077248	10361	0.013	0
19	59128983	13166	0.022	1
20	63025520	10890	0.017	0
21	48129895	8298	0.017	0
22	51304566	8015	0.016	0
Odchylenie standardowe dla osobnika: 0.00257
Srednia arytmetyczna: 0.01459
