Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	847196	0.34	0
2	243199373	762914	0.314	0
3	198022430	607345	0.307	0
4	191154276	534537	0.28	0
5	180915260	540742	0.299	0
6	171115067	542002	0.317	0
7	159138663	559526	0.352	0
8	146364022	446858	0.305	0
9	141213431	427033	0.302	0
10	135534747	511585	0.377	0
11	135006516	439111	0.325	0
12	133851895	479225	0.358	0
13	115169878	271371	0.236	-1
14	107349540	310689	0.289	0
15	102531392	316257	0.308	0
16	90354753	376864	0.417	0
17	81195210	408124	0.503	1
18	78077248	232222	0.297	0
19	59128983	358647	0.607	1
20	63025520	244092	0.387	0
21	48129895	123814	0.257	-1
22	51304566	185946	0.362	0
Odchylenie standardowe dla osobnika: 0.08029
