Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	869366	0.349	0
2	243199373	789680	0.325	0
3	198022430	616072	0.311	0
4	191154276	528272	0.276	-1
5	180915260	560884	0.31	0
6	171115067	574708	0.336	0
7	159138663	557206	0.35	0
8	146364022	480412	0.328	0
9	141213431	445273	0.315	0
10	135534747	529662	0.391	0
11	135006516	472360	0.35	0
12	133851895	473575	0.354	0
13	115169878	279888	0.243	-1
14	107349540	316751	0.295	0
15	102531392	325623	0.318	0
16	90354753	384600	0.426	0
17	81195210	400446	0.493	1
18	78077248	251368	0.322	0
19	59128983	342646	0.579	1
20	63025520	271544	0.431	1
21	48129895	136626	0.284	0
22	51304566	206368	0.402	0
Odchylenie standardowe dla osobnika: 0.07417
Srednia arytmetyczna: 0.354
