Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	3650964	1.465	0
2	243199373	3461098	1.423	0
3	198022430	2726958	1.377	0
4	191154276	2362572	1.236	-1
5	180915260	2477421	1.369	0
6	171115067	2544150	1.487	0
7	159138663	2356275	1.481	0
8	146364022	2156170	1.473	0
9	141213431	1888431	1.337	0
10	135534747	2317822	1.71	0
11	135006516	2049205	1.518	0
12	133851895	2007161	1.5	0
13	115169878	1241263	1.078	-1
14	107349540	1341157	1.249	-1
15	102531392	1353178	1.32	0
16	90354753	1627216	1.801	1
17	81195210	1520964	1.873	1
18	78077248	1112862	1.425	0
19	59128983	1255220	2.123	1
20	63025520	1139891	1.809	1
21	48129895	576902	1.199	-1
22	51304566	801303	1.562	0
Odchylenie standardowe dla osobnika: 0.23996
