Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	135079	0.054	0
2	243199373	142755	0.059	0
3	198022430	117584	0.059	0
4	191154276	111525	0.058	0
5	180915260	105477	0.058	0
6	171115067	101888	0.06	0
7	159138663	91235	0.057	0
8	146364022	86550	0.059	0
9	141213431	66968	0.047	-1
10	135534747	78790	0.058	0
11	135006516	78898	0.058	0
12	133851895	78786	0.059	0
13	115169878	57869	0.05	-1
14	107349540	53493	0.05	-1
15	102531392	48198	0.047	-1
16	90354753	47565	0.053	0
17	81195210	47362	0.058	0
18	78077248	45438	0.058	0
19	59128983	35125	0.059	0
20	63025520	37925	0.06	0
21	48129895	32767	0.068	1
22	51304566	21559	0.042	-1
Odchylenie standardowe dla osobnika: 0.0056
Srednia arytmetyczna: 0.05595
