Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	269021	0.108	0
2	243199373	285421	0.117	0
3	198022430	235073	0.119	0
4	191154276	222571	0.116	0
5	180915260	211797	0.117	0
6	171115067	202885	0.119	0
7	159138663	182005	0.114	0
8	146364022	173488	0.119	0
9	141213431	134047	0.095	-1
10	135534747	157818	0.116	0
11	135006516	158323	0.117	0
12	133851895	159509	0.119	0
13	115169878	115578	0.1	-1
14	107349540	106703	0.099	-1
15	102531392	96018	0.094	-1
16	90354753	95949	0.106	0
17	81195210	95121	0.117	0
18	78077248	90549	0.116	0
19	59128983	69939	0.118	0
20	63025520	76196	0.121	0
21	48129895	65501	0.136	1
22	51304566	42517	0.083	-1
Odchylenie standardowe dla osobnika: 0.0114
Srednia arytmetyczna: 0.11209
