Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	115906	0.047	0
2	243199373	104205	0.043	0
3	198022430	84316	0.043	0
4	191154276	74324	0.039	0
5	180915260	74486	0.041	0
6	171115067	76515	0.045	0
7	159138663	77430	0.049	0
8	146364022	61796	0.042	0
9	141213431	58837	0.042	0
10	135534747	68167	0.05	0
11	135006516	60298	0.045	0
12	133851895	66979	0.05	0
13	115169878	37356	0.032	-1
14	107349540	42957	0.04	0
15	102531392	42935	0.042	0
16	90354753	51410	0.057	0
17	81195210	56318	0.069	1
18	78077248	32158	0.041	0
19	59128983	50626	0.086	1
20	63025520	32810	0.052	0
21	48129895	17208	0.036	0
22	51304566	24729	0.048	0
Odchylenie standardowe dla osobnika: 0.01128
Srednia arytmetyczna: 0.04723
