Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1421084	0.57	0
2	243199373	1321516	0.543	0
3	198022430	1038204	0.524	0
4	191154276	891992	0.467	-1
5	180915260	942614	0.521	0
6	171115067	961608	0.562	0
7	159138663	914980	0.575	0
8	146364022	808931	0.553	0
9	141213431	727821	0.515	0
10	135534747	882913	0.651	0
11	135006516	788013	0.584	0
12	133851895	778775	0.582	0
13	115169878	475292	0.413	-1
14	107349540	522525	0.487	0
15	102531392	528263	0.515	0
16	90354753	616852	0.683	0
17	81195210	624319	0.769	1
18	78077248	423699	0.543	0
19	59128983	521323	0.882	1
20	63025520	440305	0.699	1
21	48129895	226023	0.47	-1
22	51304566	322052	0.628	0
Odchylenie standardowe dla osobnika: 0.10432
