Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	26947	0.011	0
2	243199373	28643	0.012	0
3	198022430	23735	0.012	0
4	191154276	22467	0.012	0
5	180915260	21083	0.012	0
6	171115067	20474	0.012	0
7	159138663	18186	0.011	0
8	146364022	17507	0.012	0
9	141213431	13399	0.009	-1
10	135534747	15914	0.012	0
11	135006516	15908	0.012	0
12	133851895	15546	0.012	0
13	115169878	11607	0.01	-1
14	107349540	10718	0.01	-1
15	102531392	9561	0.009	-1
16	90354753	9602	0.011	0
17	81195210	9543	0.012	0
18	78077248	9228	0.012	0
19	59128983	6977	0.012	0
20	63025520	7620	0.012	0
21	48129895	6372	0.013	1
22	51304566	4348	0.008	-1
Odchylenie standardowe dla osobnika: 0.00125
Srednia arytmetyczna: 0.01127
