Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1398577	0.561	0
2	243199373	1260691	0.518	0
3	198022430	991487	0.501	0
4	191154276	849242	0.444	0
5	180915260	892253	0.493	0
6	171115067	918413	0.537	0
7	159138663	903068	0.567	0
8	146364022	750908	0.513	0
9	141213431	719170	0.509	0
10	135534747	877587	0.647	0
11	135006516	745064	0.552	0
12	133851895	786399	0.588	0
13	115169878	440379	0.382	-1
14	107349540	512740	0.478	0
15	102531392	530384	0.517	0
16	90354753	642830	0.711	0
17	81195210	685695	0.845	1
18	78077248	388733	0.498	0
19	59128983	602328	1.019	1
20	63025520	431703	0.685	0
21	48129895	210003	0.436	0
22	51304566	335787	0.654	0
Odchylenie standardowe dla osobnika: 0.13989
