Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2508121	1.006	0
2	243199373	2388450	0.982	0
3	198022430	1881076	0.95	0
4	191154276	1647098	0.862	-1
5	180915260	1709863	0.945	0
6	171115067	1759249	1.028	0
7	159138663	1622530	1.02	0
8	146364022	1486835	1.016	0
9	141213431	1300966	0.921	0
10	135534747	1613490	1.19	1
11	135006516	1418188	1.05	0
12	133851895	1380667	1.031	0
13	115169878	856286	0.743	-1
14	107349540	926439	0.863	-1
15	102531392	930606	0.908	0
16	90354753	1093459	1.21	1
17	81195210	1035966	1.276	1
18	78077248	768914	0.985	0
19	59128983	851693	1.44	1
20	63025520	782201	1.241	1
21	48129895	398957	0.829	-1
22	51304566	547901	1.068	0
Odchylenie standardowe dla osobnika: 0.15912
