Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	27003	0.011	0
2	243199373	28453	0.012	0
3	198022430	23447	0.012	0
4	191154276	22278	0.012	0
5	180915260	21208	0.012	0
6	171115067	20362	0.012	0
7	159138663	18008	0.011	0
8	146364022	17464	0.012	0
9	141213431	13471	0.01	-1
10	135534747	15713	0.012	0
11	135006516	15673	0.012	0
12	133851895	15616	0.012	0
13	115169878	11598	0.01	-1
14	107349540	10623	0.01	-1
15	102531392	9406	0.009	-1
16	90354753	9505	0.011	0
17	81195210	9710	0.012	0
18	78077248	9243	0.012	0
19	59128983	6903	0.012	0
20	63025520	7558	0.012	0
21	48129895	6496	0.013	1
22	51304566	4336	0.008	-1
Odchylenie standardowe dla osobnika: 0.00118
