Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1667159	0.669	0
2	243199373	1583609	0.651	0
3	198022430	1273729	0.643	0
4	191154276	1134522	0.594	0
5	180915260	1149540	0.635	0
6	171115067	1168462	0.683	0
7	159138663	1101712	0.692	0
8	146364022	981213	0.67	0
9	141213431	853272	0.604	0
10	135534747	1034941	0.764	0
11	135006516	914185	0.677	0
12	133851895	941835	0.704	0
13	115169878	582931	0.506	-1
14	107349540	618745	0.576	0
15	102531392	608987	0.594	0
16	90354753	715753	0.792	1
17	81195210	677228	0.834	1
18	78077248	502942	0.644	0
19	59128983	571500	0.967	1
20	63025520	485078	0.77	0
21	48129895	258609	0.537	-1
22	51304566	326618	0.637	0
Odchylenie standardowe dla osobnika: 0.10082
Srednia arytmetyczna: 0.67468
