Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1344234	0.539	0
2	243199373	1429998	0.588	0
3	198022430	1178579	0.595	0
4	191154276	1114600	0.583	0
5	180915260	1056074	0.584	0
6	171115067	1016185	0.594	0
7	159138663	910651	0.572	0
8	146364022	863193	0.59	0
9	141213431	670595	0.475	-1
10	135534747	792234	0.585	0
11	135006516	791235	0.586	0
12	133851895	793513	0.593	0
13	115169878	580270	0.504	0
14	107349540	533134	0.497	-1
15	102531392	480176	0.468	-1
16	90354753	476534	0.527	0
17	81195210	477905	0.589	0
18	78077248	453845	0.581	0
19	59128983	349654	0.591	0
20	63025520	379399	0.602	0
21	48129895	328532	0.683	1
22	51304566	212867	0.415	-1
Odchylenie standardowe dla osobnika: 0.05727
