Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	305538	0.123	0
2	243199373	331181	0.136	0
3	198022430	272565	0.138	0
4	191154276	259433	0.136	0
5	180915260	244109	0.135	0
6	171115067	235354	0.138	0
7	159138663	207644	0.13	0
8	146364022	199682	0.136	0
9	141213431	152356	0.108	-1
10	135534747	180873	0.133	0
11	135006516	180611	0.134	0
12	133851895	181208	0.135	0
13	115169878	135524	0.118	0
14	107349540	122127	0.114	0
15	102531392	107829	0.105	-1
16	90354753	105967	0.117	0
17	81195210	102807	0.127	0
18	78077248	106453	0.136	0
19	59128983	72034	0.122	0
20	63025520	85486	0.136	0
21	48129895	50532	0.105	-1
22	51304566	46301	0.09	-1
Odchylenie standardowe dla osobnika: 0.01328
