Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1346690	0.54	0
2	243199373	1430076	0.588	0
3	198022430	1178009	0.595	0
4	191154276	1112995	0.582	0
5	180915260	1054687	0.583	0
6	171115067	1014822	0.593	0
7	159138663	911903	0.573	0
8	146364022	863863	0.59	0
9	141213431	670993	0.475	-1
10	135534747	789654	0.583	0
11	135006516	790389	0.585	0
12	133851895	793857	0.593	0
13	115169878	579406	0.503	-1
14	107349540	532422	0.496	-1
15	102531392	480974	0.469	-1
16	90354753	476763	0.528	0
17	81195210	477627	0.588	0
18	78077248	455424	0.583	0
19	59128983	350275	0.592	0
20	63025520	379414	0.602	0
21	48129895	327303	0.68	1
22	51304566	213009	0.415	-1
Odchylenie standardowe dla osobnika: 0.05689
