Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	242171	0.097	0
2	243199373	223955	0.092	0
3	198022430	175490	0.089	0
4	191154276	157371	0.082	0
5	180915260	158851	0.088	0
6	171115067	160405	0.094	0
7	159138663	156038	0.098	0
8	146364022	134797	0.092	0
9	141213431	121642	0.086	0
10	135534747	160900	0.119	1
11	135006516	129921	0.096	0
12	133851895	131006	0.098	0
13	115169878	78717	0.068	-1
14	107349540	86210	0.08	0
15	102531392	86207	0.084	0
16	90354753	105289	0.117	1
17	81195210	100379	0.124	1
18	78077248	69797	0.089	0
19	59128983	85464	0.145	1
20	63025520	69269	0.11	0
21	48129895	36954	0.077	-1
22	51304566	48615	0.095	0
Odchylenie standardowe dla osobnika: 0.01705
