Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1150586	0.462	0
2	243199373	1054791	0.434	0
3	198022430	809493	0.409	0
4	191154276	647052	0.338	-1
5	180915260	749116	0.414	0
6	171115067	790996	0.462	0
7	159138663	708003	0.445	0
8	146364022	661865	0.452	0
9	141213431	599766	0.425	0
10	135534747	735718	0.543	0
11	135006516	664199	0.492	0
12	133851895	612780	0.458	0
13	115169878	365458	0.317	-1
14	107349540	422155	0.393	0
15	102531392	441877	0.431	0
16	90354753	521618	0.577	0
17	81195210	522838	0.644	1
18	78077248	348168	0.446	0
19	59128983	428102	0.724	1
20	63025520	404694	0.642	1
21	48129895	188615	0.392	0
22	51304566	314561	0.613	1
Odchylenie standardowe dla osobnika: 0.10159
Srednia arytmetyczna: 0.47786
