Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	252012	0.101	0
2	243199373	262232	0.108	0
3	198022430	213008	0.108	0
4	191154276	201580	0.105	0
5	180915260	187046	0.103	0
6	171115067	181726	0.106	0
7	159138663	167130	0.105	0
8	146364022	155967	0.107	0
9	141213431	123187	0.087	-1
10	135534747	146702	0.108	0
11	135006516	146709	0.109	0
12	133851895	145253	0.109	0
13	115169878	102048	0.089	-1
14	107349540	99077	0.092	0
15	102531392	86304	0.084	-1
16	90354753	87883	0.097	0
17	81195210	88260	0.109	0
18	78077248	83524	0.107	0
19	59128983	65671	0.111	0
20	63025520	71033	0.113	1
21	48129895	40301	0.084	-1
22	51304566	39890	0.078	-1
Odchylenie standardowe dla osobnika: 0.01014
