Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	3704548	1.486	0
2	243199373	3410583	1.402	0
3	198022430	2684433	1.356	0
4	191154276	2334041	1.221	0
5	180915260	2435155	1.346	0
6	171115067	2461922	1.439	0
7	159138663	2389568	1.502	0
8	146364022	2073888	1.417	0
9	141213431	1879867	1.331	0
10	135534747	2217803	1.636	0
11	135006516	2004707	1.485	0
12	133851895	2028575	1.516	0
13	115169878	1217027	1.057	-1
14	107349540	1344727	1.253	0
15	102531392	1357947	1.324	0
16	90354753	1595641	1.766	1
17	81195210	1618308	1.993	1
18	78077248	1075472	1.377	0
19	59128983	1380121	2.334	1
20	63025520	1110123	1.761	0
21	48129895	568636	1.181	-1
22	51304566	803242	1.566	0
Odchylenie standardowe dla osobnika: 0.27587
