Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	35674	0.014	0
2	243199373	32853	0.014	0
3	198022430	25539	0.013	0
4	191154276	22188	0.012	0
5	180915260	23296	0.013	0
6	171115067	23623	0.014	0
7	159138663	22896	0.014	0
8	146364022	19988	0.014	0
9	141213431	18164	0.013	0
10	135534747	21172	0.016	0
11	135006516	19400	0.014	0
12	133851895	19179	0.014	0
13	115169878	11719	0.01	-1
14	107349540	13035	0.012	0
15	102531392	13067	0.013	0
16	90354753	15439	0.017	0
17	81195210	15801	0.019	1
18	78077248	10422	0.013	0
19	59128983	13539	0.023	1
20	63025520	10937	0.017	0
21	48129895	8318	0.017	0
22	51304566	8140	0.016	0
Odchylenie standardowe dla osobnika: 0.00271
Srednia arytmetyczna: 0.01464
