Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	949014	0.381	0
2	243199373	870527	0.358	0
3	198022430	688870	0.348	0
4	191154276	600321	0.314	0
5	180915260	619827	0.343	0
6	171115067	627211	0.367	0
7	159138663	616222	0.387	0
8	146364022	522593	0.357	0
9	141213431	483684	0.343	0
10	135534747	565130	0.417	0
11	135006516	507722	0.376	0
12	133851895	523837	0.391	0
13	115169878	312963	0.272	-1
14	107349540	346542	0.323	0
15	102531392	355956	0.347	0
16	90354753	409468	0.453	0
17	81195210	425141	0.524	1
18	78077248	273129	0.35	0
19	59128983	363806	0.615	1
20	63025520	282115	0.448	0
21	48129895	144387	0.3	-1
22	51304566	205915	0.401	0
Odchylenie standardowe dla osobnika: 0.07397
Srednia arytmetyczna: 0.3825
