Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	25449	0.01	0
2	243199373	21601	0.009	0
3	198022430	17431	0.009	0
4	191154276	14800	0.008	0
5	180915260	15520	0.009	0
6	171115067	15357	0.009	0
7	159138663	16319	0.01	0
8	146364022	12802	0.009	0
9	141213431	12396	0.009	0
10	135534747	14053	0.01	0
11	135006516	12630	0.009	0
12	133851895	13768	0.01	0
13	115169878	7773	0.007	-1
14	107349540	8900	0.008	0
15	102531392	9218	0.009	0
16	90354753	11162	0.012	0
17	81195210	11897	0.015	1
18	78077248	6415	0.008	0
19	59128983	10977	0.019	1
20	63025520	7193	0.011	0
21	48129895	3519	0.007	-1
22	51304566	5406	0.011	0
Odchylenie standardowe dla osobnika: 0.00261
Srednia arytmetyczna: 0.00991
