Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1031018	0.414	0
2	243199373	955654	0.393	0
3	198022430	771178	0.389	0
4	191154276	673152	0.352	0
5	180915260	695122	0.384	0
6	171115067	707530	0.413	0
7	159138663	673825	0.423	0
8	146364022	587227	0.401	0
9	141213431	530132	0.375	0
10	135534747	620290	0.458	0
11	135006516	556987	0.413	0
12	133851895	585675	0.438	0
13	115169878	350290	0.304	-1
14	107349540	382070	0.356	0
15	102531392	384186	0.375	0
16	90354753	442660	0.49	1
17	81195210	439811	0.542	1
18	78077248	304174	0.39	0
19	59128983	376720	0.637	1
20	63025520	303090	0.481	0
21	48129895	157302	0.327	-1
22	51304566	211087	0.411	0
Odchylenie standardowe dla osobnika: 0.07118
Srednia arytmetyczna: 0.41664
