Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	244098	0.098	0
2	243199373	220091	0.09	0
3	198022430	171177	0.086	0
4	191154276	155817	0.082	0
5	180915260	151821	0.084	0
6	171115067	152082	0.089	0
7	159138663	162539	0.102	0
8	146364022	124168	0.085	0
9	141213431	122433	0.087	0
10	135534747	154027	0.114	0
11	135006516	124597	0.092	0
12	133851895	136847	0.102	0
13	115169878	75914	0.066	-1
14	107349540	88859	0.083	0
15	102531392	90634	0.088	0
16	90354753	111829	0.124	0
17	81195210	123173	0.152	1
18	78077248	64553	0.083	0
19	59128983	112056	0.19	1
20	63025520	69947	0.111	0
21	48129895	36487	0.076	0
22	51304566	55213	0.108	0
Odchylenie standardowe dla osobnika: 0.0267
