Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	133857	0.054	0
2	243199373	142821	0.059	0
3	198022430	117819	0.059	0
4	191154276	111182	0.058	0
5	180915260	105861	0.059	0
6	171115067	101332	0.059	0
7	159138663	90801	0.057	0
8	146364022	86611	0.059	0
9	141213431	67032	0.047	-1
10	135534747	78968	0.058	0
11	135006516	79211	0.059	0
12	133851895	79657	0.06	0
13	115169878	57691	0.05	-1
14	107349540	53392	0.05	-1
15	102531392	48024	0.047	-1
16	90354753	47872	0.053	0
17	81195210	47420	0.058	0
18	78077248	45507	0.058	0
19	59128983	35176	0.059	0
20	63025520	37996	0.06	0
21	48129895	32772	0.068	1
22	51304566	21262	0.041	-1
Odchylenie standardowe dla osobnika: 0.00575
