Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	245233	0.098	0
2	243199373	228725	0.094	0
3	198022430	179818	0.091	0
4	191154276	161940	0.085	0
5	180915260	163178	0.09	0
6	171115067	163806	0.096	0
7	159138663	158575	0.1	0
8	146364022	139815	0.096	0
9	141213431	122624	0.087	0
10	135534747	169522	0.125	1
11	135006516	131696	0.098	0
12	133851895	131939	0.099	0
13	115169878	81261	0.071	-1
14	107349540	87474	0.081	0
15	102531392	86586	0.084	0
16	90354753	103040	0.114	1
17	81195210	98659	0.122	1
18	78077248	71356	0.091	0
19	59128983	83963	0.142	1
20	63025520	68619	0.109	0
21	48129895	36451	0.076	-1
22	51304566	46576	0.091	0
Odchylenie standardowe dla osobnika: 0.01628
Srednia arytmetyczna: 0.09727
