Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	486036	0.195	0
2	243199373	440906	0.181	0
3	198022430	354489	0.179	0
4	191154276	315027	0.165	0
5	180915260	318337	0.176	0
6	171115067	321488	0.188	0
7	159138663	318428	0.2	0
8	146364022	266060	0.182	0
9	141213431	244753	0.173	0
10	135534747	288514	0.213	0
11	135006516	256468	0.19	0
12	133851895	273383	0.204	0
13	115169878	159087	0.138	-1
14	107349540	176786	0.165	0
15	102531392	176635	0.172	0
16	90354753	210244	0.233	1
17	81195210	214326	0.264	1
18	78077248	136579	0.175	0
19	59128983	189636	0.321	1
20	63025520	137852	0.219	0
21	48129895	72454	0.151	-1
22	51304566	98454	0.192	0
Odchylenie standardowe dla osobnika: 0.03846
Srednia arytmetyczna: 0.19436
