Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	88013	0.035	0
2	243199373	77225	0.032	0
3	198022430	60791	0.031	0
4	191154276	52828	0.028	0
5	180915260	55304	0.031	0
6	171115067	55304	0.032	0
7	159138663	56624	0.036	0
8	146364022	46933	0.032	0
9	141213431	43962	0.031	0
10	135534747	51669	0.038	0
11	135006516	45433	0.034	0
12	133851895	49250	0.037	0
13	115169878	27359	0.024	-1
14	107349540	31609	0.029	0
15	102531392	32498	0.032	0
16	90354753	38820	0.043	0
17	81195210	41461	0.051	1
18	78077248	24189	0.031	0
19	59128983	36673	0.062	1
20	63025520	25600	0.041	0
21	48129895	12768	0.027	-1
22	51304566	19640	0.038	0
Odchylenie standardowe dla osobnika: 0.0082
