Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	502909	0.202	0
2	243199373	460240	0.189	0
3	198022430	361767	0.183	0
4	191154276	315690	0.165	0
5	180915260	326967	0.181	0
6	171115067	327024	0.191	0
7	159138663	326303	0.205	0
8	146364022	273639	0.187	0
9	141213431	253123	0.179	0
10	135534747	297787	0.22	0
11	135006516	267657	0.198	0
12	133851895	277364	0.207	0
13	115169878	163075	0.142	-1
14	107349540	181877	0.169	0
15	102531392	184696	0.18	0
16	90354753	218007	0.241	0
17	81195210	228068	0.281	1
18	78077248	142676	0.183	0
19	59128983	196976	0.333	1
20	63025520	147833	0.235	0
21	48129895	76339	0.159	-1
22	51304566	109535	0.213	0
Odchylenie standardowe dla osobnika: 0.04107
Srednia arytmetyczna: 0.20195
