Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2091889	0.839	0
2	243199373	1982283	0.815	0
3	198022430	1559261	0.787	0
4	191154276	1379960	0.722	0
5	180915260	1417499	0.784	0
6	171115067	1445231	0.845	0
7	159138663	1362899	0.856	0
8	146364022	1224434	0.837	0
9	141213431	1079287	0.764	0
10	135534747	1355982	1.0	1
11	135006516	1163980	0.862	0
12	133851895	1160304	0.867	0
13	115169878	713001	0.619	-1
14	107349540	768416	0.716	0
15	102531392	768768	0.75	0
16	90354753	919535	1.018	1
17	81195210	877154	1.08	1
18	78077248	632821	0.811	0
19	59128983	731978	1.238	1
20	63025520	638968	1.014	1
21	48129895	328439	0.682	-1
22	51304566	445592	0.869	0
Odchylenie standardowe dla osobnika: 0.13921
Srednia arytmetyczna: 0.85341
