Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	178628	0.072	0
2	243199373	164285	0.068	0
3	198022430	128777	0.065	0
4	191154276	111434	0.058	-1
5	180915260	116573	0.064	0
6	171115067	119050	0.07	0
7	159138663	113936	0.072	0
8	146364022	99765	0.068	0
9	141213431	91100	0.065	0
10	135534747	107340	0.079	0
11	135006516	97295	0.072	0
12	133851895	97330	0.073	0
13	115169878	58565	0.051	-1
14	107349540	65065	0.061	0
15	102531392	65521	0.064	0
16	90354753	77449	0.086	0
17	81195210	78422	0.097	1
18	78077248	52245	0.067	0
19	59128983	66081	0.112	1
20	63025520	55008	0.087	1
21	48129895	41797	0.087	1
22	51304566	40271	0.078	0
Odchylenie standardowe dla osobnika: 0.01341
