Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	26604	0.011	0
2	243199373	28533	0.012	0
3	198022430	23684	0.012	0
4	191154276	22182	0.012	0
5	180915260	21249	0.012	0
6	171115067	20504	0.012	0
7	159138663	18211	0.011	0
8	146364022	17379	0.012	0
9	141213431	13278	0.009	-1
10	135534747	15558	0.011	0
11	135006516	15850	0.012	0
12	133851895	16126	0.012	0
13	115169878	11663	0.01	-1
14	107349540	10490	0.01	-1
15	102531392	9762	0.01	-1
16	90354753	9589	0.011	0
17	81195210	9481	0.012	0
18	78077248	9150	0.012	0
19	59128983	7164	0.012	0
20	63025520	7608	0.012	0
21	48129895	6574	0.014	1
22	51304566	4297	0.008	-1
Odchylenie standardowe dla osobnika: 0.00126
