Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	27198	0.011	0
2	243199373	28689	0.012	0
3	198022430	23440	0.012	0
4	191154276	22114	0.012	0
5	180915260	21129	0.012	0
6	171115067	20188	0.012	0
7	159138663	18235	0.011	0
8	146364022	17328	0.012	0
9	141213431	13410	0.009	-1
10	135534747	15704	0.012	0
11	135006516	15675	0.012	0
12	133851895	16165	0.012	0
13	115169878	11643	0.01	0
14	107349540	10917	0.01	0
15	102531392	9589	0.009	-1
16	90354753	9441	0.01	0
17	81195210	9594	0.012	0
18	78077248	9331	0.012	0
19	59128983	7081	0.012	0
20	63025520	7585	0.012	0
21	48129895	6541	0.014	1
22	51304566	4093	0.008	-1
Odchylenie standardowe dla osobnika: 0.00135
Srednia arytmetyczna: 0.01127
