Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	268133	0.108	0
2	243199373	232406	0.096	0
3	198022430	184739	0.093	0
4	191154276	156772	0.082	-1
5	180915260	169007	0.093	0
6	171115067	166969	0.098	0
7	159138663	163874	0.103	0
8	146364022	140811	0.096	0
9	141213431	129922	0.092	0
10	135534747	150670	0.111	0
11	135006516	138462	0.103	0
12	133851895	140341	0.105	0
13	115169878	84603	0.073	-1
14	107349540	92725	0.086	0
15	102531392	93845	0.092	0
16	90354753	109147	0.121	0
17	81195210	112860	0.139	1
18	78077248	75091	0.096	0
19	59128983	94504	0.16	1
20	63025520	77726	0.123	1
21	48129895	38449	0.08	-1
22	51304566	57114	0.111	0
Odchylenie standardowe dla osobnika: 0.0193
