Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1078026	0.433	0
2	243199373	989538	0.407	0
3	198022430	781451	0.395	0
4	191154276	687648	0.36	0
5	180915260	704236	0.389	0
6	171115067	710797	0.415	0
7	159138663	702151	0.441	0
8	146364022	592356	0.405	0
9	141213431	548017	0.388	0
10	135534747	648020	0.478	0
11	135006516	575043	0.426	0
12	133851895	593812	0.444	0
13	115169878	354664	0.308	-1
14	107349540	392573	0.366	0
15	102531392	402297	0.392	0
16	90354753	467054	0.517	0
17	81195210	480393	0.592	1
18	78077248	308751	0.395	0
19	59128983	413224	0.699	1
20	63025520	315954	0.501	0
21	48129895	163267	0.339	-1
22	51304566	230001	0.448	0
Odchylenie standardowe dla osobnika: 0.08388
