Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	26839	0.011	0
2	243199373	28423	0.012	0
3	198022430	23502	0.012	0
4	191154276	22435	0.012	0
5	180915260	21104	0.012	0
6	171115067	20212	0.012	0
7	159138663	18285	0.011	0
8	146364022	17423	0.012	0
9	141213431	13456	0.01	-1
10	135534747	15812	0.012	0
11	135006516	15648	0.012	0
12	133851895	15657	0.012	0
13	115169878	11419	0.01	-1
14	107349540	10542	0.01	-1
15	102531392	9544	0.009	-1
16	90354753	9492	0.011	0
17	81195210	9512	0.012	0
18	78077248	9027	0.012	0
19	59128983	7034	0.012	0
20	63025520	7614	0.012	0
21	48129895	6546	0.014	1
22	51304566	4243	0.008	-1
Odchylenie standardowe dla osobnika: 0.00126
