Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	198079	0.079	0
2	243199373	174929	0.072	0
3	198022430	139999	0.071	0
4	191154276	122506	0.064	0
5	180915260	122948	0.068	0
6	171115067	123650	0.072	0
7	159138663	132484	0.083	0
8	146364022	99744	0.068	0
9	141213431	99926	0.071	0
10	135534747	120214	0.089	0
11	135006516	99637	0.074	0
12	133851895	113445	0.085	0
13	115169878	61631	0.054	-1
14	107349540	72659	0.068	0
15	102531392	73830	0.072	0
16	90354753	89434	0.099	0
17	81195210	101020	0.124	1
18	78077248	52165	0.067	0
19	59128983	89932	0.152	1
20	63025520	56066	0.089	0
21	48129895	27753	0.058	-1
22	51304566	44482	0.087	0
Odchylenie standardowe dla osobnika: 0.02146
