Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1787734	0.717	0
2	243199373	1644067	0.676	0
3	198022430	1283604	0.648	0
4	191154276	1112266	0.582	-1
5	180915260	1167031	0.645	0
6	171115067	1186709	0.694	0
7	159138663	1140792	0.717	0
8	146364022	1000650	0.684	0
9	141213431	907132	0.642	0
10	135534747	1073773	0.792	0
11	135006516	974577	0.722	0
12	133851895	971277	0.726	0
13	115169878	582760	0.506	-1
14	107349540	649075	0.605	0
15	102531392	656050	0.64	0
16	90354753	776590	0.859	0
17	81195210	779513	0.96	1
18	78077248	520734	0.667	0
19	59128983	663998	1.123	1
20	63025520	546162	0.867	0
21	48129895	416897	0.866	0
22	51304566	404654	0.789	0
Odchylenie standardowe dla osobnika: 0.13426
Srednia arytmetyczna: 0.73305
