Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2065552	0.829	0
2	243199373	1948687	0.801	0
3	198022430	1535337	0.775	0
4	191154276	1341567	0.702	-1
5	180915260	1392646	0.77	0
6	171115067	1418979	0.829	0
7	159138663	1335190	0.839	0
8	146364022	1211680	0.828	0
9	141213431	1066012	0.755	0
10	135534747	1312099	0.968	0
11	135006516	1148881	0.851	0
12	133851895	1140567	0.852	0
13	115169878	697605	0.606	-1
14	107349540	762433	0.71	0
15	102531392	763389	0.745	0
16	90354753	901229	0.997	1
17	81195210	869784	1.071	1
18	78077248	623948	0.799	0
19	59128983	724187	1.225	1
20	63025520	634742	1.007	1
21	48129895	323780	0.673	-1
22	51304566	447173	0.872	0
Odchylenie standardowe dla osobnika: 0.13806
