Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1345823	0.54	0
2	243199373	1430832	0.588	0
3	198022430	1177533	0.595	0
4	191154276	1113891	0.583	0
5	180915260	1056289	0.584	0
6	171115067	1016312	0.594	0
7	159138663	911265	0.573	0
8	146364022	862971	0.59	0
9	141213431	669233	0.474	-1
10	135534747	790814	0.583	0
11	135006516	791737	0.586	0
12	133851895	793626	0.593	0
13	115169878	580013	0.504	0
14	107349540	533823	0.497	-1
15	102531392	480057	0.468	-1
16	90354753	476258	0.527	0
17	81195210	477721	0.588	0
18	78077248	453886	0.581	0
19	59128983	350835	0.593	0
20	63025520	380496	0.604	0
21	48129895	326892	0.679	1
22	51304566	212889	0.415	-1
Odchylenie standardowe dla osobnika: 0.05701
Srednia arytmetyczna: 0.56086
