Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2502172	1.004	0
2	243199373	2329097	0.958	0
3	198022430	1839147	0.929	0
4	191154276	1542197	0.807	-1
5	180915260	1668304	0.922	0
6	171115067	1728458	1.01	0
7	159138663	1597422	1.004	0
8	146364022	1448172	0.989	0
9	141213431	1304313	0.924	0
10	135534747	1586495	1.171	0
11	135006516	1405083	1.041	0
12	133851895	1382578	1.033	0
13	115169878	833330	0.724	-1
14	107349540	924319	0.861	0
15	102531392	942251	0.919	0
16	90354753	1099491	1.217	1
17	81195210	1093116	1.346	1
18	78077248	758186	0.971	0
19	59128983	908638	1.537	1
20	63025520	810145	1.285	1
21	48129895	394829	0.82	-1
22	51304566	587809	1.146	0
Odchylenie standardowe dla osobnika: 0.18633
Srednia arytmetyczna: 1.02809
