Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	818481	0.328	0
2	243199373	825249	0.339	0
3	198022430	664283	0.335	0
4	191154276	582205	0.305	0
5	180915260	591246	0.327	0
6	171115067	574021	0.335	0
7	159138663	523959	0.329	0
8	146364022	496288	0.339	0
9	141213431	403298	0.286	-1
10	135534747	483212	0.357	0
11	135006516	482168	0.357	0
12	133851895	462234	0.345	0
13	115169878	308183	0.268	-1
14	107349540	312168	0.291	-1
15	102531392	295572	0.288	-1
16	90354753	320814	0.355	0
17	81195210	320100	0.394	1
18	78077248	261699	0.335	0
19	59128983	246932	0.418	1
20	63025520	253364	0.402	1
21	48129895	131435	0.273	-1
22	51304566	154310	0.301	0
Odchylenie standardowe dla osobnika: 0.03888
